condition,GRASP,hill,anneal,tabu,historical_reference,alignment,risk_note
原始货箱,80箱；同一逐箱清单,80箱；同一逐箱清单,80箱；同一逐箱清单,80箱；同一逐箱清单,同附件/物理模型，异轮实验,一致,历史参照路线在旧时限口径下产生，但以当前物理和约束重新回放。
DEM,镇龙乡及周边30米DEM.tif / 741fe6de0b2b,镇龙乡及周边30米DEM.tif / 741fe6de0b2b,镇龙乡及周边30米DEM.tif / 741fe6de0b2b,镇龙乡及周边30米DEM.tif / 741fe6de0b2b,同附件/物理模型，异轮实验,一致,历史参照路线在旧时限口径下产生，但以当前物理和约束重新回放。
运输机库存,"[4, 2, 2]","[4, 2, 2]","[4, 2, 2]","[4, 2, 2]",同附件/物理模型，异轮实验,一致,历史参照路线在旧时限口径下产生，但以当前物理和约束重新回放。
电池库存,"[6, 4, 4]","[6, 4, 4]","[6, 4, 4]","[6, 4, 4]",同附件/物理模型，异轮实验,一致,历史参照路线在旧时限口径下产生，但以当前物理和约束重新回放。
返航安全余量,"[20, 20, 20]%","[20, 20, 20]%","[20, 20, 20]%","[20, 20, 20]%",同附件/物理模型，异轮实验,一致,历史参照路线在旧时限口径下产生，但以当前物理和约束重新回放。
时间窗,医疗期望及首批截止硬；其他期望软,医疗期望及首批截止硬；其他期望软,医疗期望及首批截止硬；其他期望软,医疗期望及首批截止硬；其他期望软,同附件/物理模型，异轮实验,一致,历史参照路线在旧时限口径下产生，但以当前物理和约束重新回放。
能耗公式,Model.energy + Model.route,Model.energy + Model.route,Model.energy + Model.route,Model.energy + Model.route,同附件/物理模型，异轮实验,一致,历史参照路线在旧时限口径下产生，但以当前物理和约束重新回放。
评价指标,硬可行→加权迟到→返航→加权交付→能耗,硬可行→加权迟到→返航→加权交付→能耗,硬可行→加权迟到→返航→加权交付→能耗,硬可行→加权迟到→返航→加权交付→能耗,同附件/物理模型，异轮实验,一致,历史参照路线在旧时限口径下产生，但以当前物理和约束重新回放。
初始箱组,相同种子对应相同起点,相同种子对应相同起点,相同种子对应相同起点,相同种子对应相同起点,同附件/物理模型，异轮实验,一致,历史参照路线在旧时限口径下产生，但以当前物理和约束重新回放。
CP-SAT随机种子,42,42,42,42,同附件/物理模型，异轮实验,一致,历史参照路线在旧时限口径下产生，但以当前物理和约束重新回放。
方法名称,随机化构造,局部爬山,模拟退火,禁忌搜索,历史局部爬山1,设计差异,方法参数/路线输出允许不同。
算法内部温度/邻域/禁忌,各方法自有,各方法自有,各方法自有,各方法自有,历史设置,设计差异,方法参数/路线输出允许不同。
架次数,方案输出，不是预设资源,方案输出，不是预设资源,方案输出，不是预设资源,方案输出，不是预设资源,同附件/物理模型，异轮实验,设计差异,方法参数/路线输出允许不同。
搜索种子,"[0, 1, 2]","[0, 1, 2]","[0, 1, 2]","[0, 1, 2]",旧轮seed=1,一致（本轮）,历史参照不能参与同预算统计。
搜索预算/s,6.0,6.0,6.0,6.0,旧轮预算,一致（本轮）,历史参照预算不同，已单列。
固定路线排程预算/s,8.0,8.0,8.0,8.0,旧轮排程,一致（本轮）,历史参照预算不同，已单列。
通信约束,Q2不适用,Q2不适用,Q2不适用,Q2不适用,Q2不适用,合法场景差异,Q3新增通信约束，Q2四算法内部不受影响。
