file,line,value,context,classification
code/assemble_figure_pool.py,13,1,ROOT = Path(__file__).resolve().parents[1],path/bootstrap
code/assemble_figure_pool.py,54,2,"json.dumps(manifest, ensure_ascii=False, indent=2), encoding=""utf-8"")",solver/physics/index; inspect context
code/assemble_figure_pool.py,55,3,"print(f""PASS {len(expected)//3} figures, 3 formats each: {POOL}"")",solver/physics/index; inspect context
code/audit_kmax_archive.py,13,1,ROOT = Path(__file__).resolve().parents[1],path/bootstrap
code/audit_kmax_archive.py,29,48,"if len(data[""trials""]) != 48 or {(t[""kmax""], t[""seed""], t[""method""])",solver/physics/index; inspect context
code/audit_kmax_archive.py,61,1,raise SystemExit(1),solver/physics/index; inspect context
code/audit_kmax_archive.py,25,2,"expected = {(k, seed, method) for k in (2, 3, 4, 5)",solver/physics/index; inspect context
code/audit_kmax_archive.py,25,3,"expected = {(k, seed, method) for k in (2, 3, 4, 5)",solver/physics/index; inspect context
code/audit_kmax_archive.py,25,4,"expected = {(k, seed, method) for k in (2, 3, 4, 5)",solver/physics/index; inspect context
code/audit_kmax_archive.py,25,5,"expected = {(k, seed, method) for k in (2, 3, 4, 5)",solver/physics/index; inspect context
code/audit_kmax_archive.py,26,0,"for seed in (0, 1, 2)",solver/physics/index; inspect context
code/audit_kmax_archive.py,26,1,"for seed in (0, 1, 2)",solver/physics/index; inspect context
code/audit_kmax_archive.py,26,2,"for seed in (0, 1, 2)",solver/physics/index; inspect context
code/audit_kmax_archive.py,49,1e-07,"if abs(replay[""min_transport_soc""] - trial[""min_return_soc""]) > 1e-7:",solver/physics/index; inspect context
code/audit_kmax_archive.py,58,2,"OUTPUT.write_text(json.dumps(output, ensure_ascii=False, indent=2), encoding=""utf-8"")",solver/physics/index; inspect context
code/controlled_stress.py,9,1,ROOT = Path(__file__).resolve().parents[1],path/bootstrap
code/controlled_stress.py,33,0,"for extra in (0, 0.5, 1, 2, 3):",solver/physics/index; inspect context
code/controlled_stress.py,33,0.5,"for extra in (0, 0.5, 1, 2, 3):",solver/physics/index; inspect context
code/controlled_stress.py,33,1,"for extra in (0, 0.5, 1, 2, 3):",solver/physics/index; inspect context
code/controlled_stress.py,33,2,"for extra in (0, 0.5, 1, 2, 3):",solver/physics/index; inspect context
code/controlled_stress.py,33,3,"for extra in (0, 0.5, 1, 2, 3):",solver/physics/index; inspect context
code/controlled_stress.py,20,1.0,"for multiplier in (1.00, 1.01, 1.02, 1.03, 1.05):",solver/physics/index; inspect context
code/controlled_stress.py,20,1.01,"for multiplier in (1.00, 1.01, 1.02, 1.03, 1.05):",solver/physics/index; inspect context
code/controlled_stress.py,20,1.02,"for multiplier in (1.00, 1.01, 1.02, 1.03, 1.05):",solver/physics/index; inspect context
