parameter_name,math_symbol,python_variable,current_value,unit,original_source,using_files,using_questions,paper_location
O01.lon,\lambda_i,Model.nodes[O01].lon,109.2308517,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
O01.lat,\phi_i,Model.nodes[O01].lat,23.0085095,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
O01.z,z_i,Model.nodes[O01].z,127.7,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S001.lon,\lambda_i,Model.nodes[S001].lon,109.2432319,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S001.lat,\phi_i,Model.nodes[S001].lat,23.0335927,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S001.z,z_i,Model.nodes[S001].z,154,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S002.lon,\lambda_i,Model.nodes[S002].lon,109.2585519,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S002.lat,\phi_i,Model.nodes[S002].lat,23.0703271,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S002.z,z_i,Model.nodes[S002].z,189.5,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S003.lon,\lambda_i,Model.nodes[S003].lon,109.1688578,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S003.lat,\phi_i,Model.nodes[S003].lat,23.0402714,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S003.z,z_i,Model.nodes[S003].z,308.5,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S004.lon,\lambda_i,Model.nodes[S004].lon,109.2381714,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S004.lat,\phi_i,Model.nodes[S004].lat,23.0778414,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S004.z,z_i,Model.nodes[S004].z,198.3,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S005.lon,\lambda_i,Model.nodes[S005].lon,109.2283003,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S005.lat,\phi_i,Model.nodes[S005].lat,23.0561338,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S005.z,z_i,Model.nodes[S005].z,165,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S006.lon,\lambda_i,Model.nodes[S006].lon,109.1997836,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S006.lat,\phi_i,Model.nodes[S006].lat,23.007714,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S006.z,z_i,Model.nodes[S006].z,284.8,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S007.lon,\lambda_i,Model.nodes[S007].lon,109.1928191,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S007.lat,\phi_i,Model.nodes[S007].lat,23.0294186,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S007.z,z_i,Model.nodes[S007].z,318.5,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S008.lon,\lambda_i,Model.nodes[S008].lon,109.2127472,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S008.lat,\phi_i,Model.nodes[S008].lat,23.0795113,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S008.z,z_i,Model.nodes[S008].z,240.9,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S009.lon,\lambda_i,Model.nodes[S009].lon,109.2541424,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S009.lat,\phi_i,Model.nodes[S009].lat,23.0552989,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S009.z,z_i,Model.nodes[S009].z,200,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S010.lon,\lambda_i,Model.nodes[S010].lon,109.2760168,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S010.lat,\phi_i,Model.nodes[S010].lat,23.0194009,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S010.z,z_i,Model.nodes[S010].z,321.6,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S011.lon,\lambda_i,Model.nodes[S011].lon,109.2203356,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S011.lat,\phi_i,Model.nodes[S011].lat,23.0319231,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
